«_èV1,,guess_1,score_1,guess_2,score_2,guess_3,score_3,,avg_score,,,
R_0iG0MI7FhKiNK3X,22,1487642,0,1943248,0,9728723,1,,0.333333333,,,
R_d0hNUeodh10nhWd,23,1486742,1,194328,1,9728721,2,,1.333333333,,,
R_d5dxwaYzkXOVheB,24,1487642,0,1943248,0,9728213,1,,0.333333333,,,
R_0CZgp8jmhvg7Jml,25,1487462,1,1943248,0,9728971,2,,1,,,
R_0BzCRcDU6KQ9Sfj,26,1478714,3,19343219,3,9728792,2,,2.666666667,,,
R_eJoaNRxQ9TRMgjX,27,1842468,4,194384,2,9728317,2,,2.666666667,,,
R_37TLU1F0qdQ7lNH,28,1487124,2,1943249,1,9728713,0,,1,,,
R_0Pp5b7LWAALOiS9,29,1487642,0,1923248,1,9728713,0,,0.333333333,,,
R_8I0Bxq76mAw77GR,30,1487642,0,1943248,0,9728713,0,,0,,,
R_aaxCQmVVC6xwMOp,31,1486472,2,1942348,1,9287213,2,,1.666666667,,,
R_5jufKjrBinLgNRr,32,148672,2,1943248,0,972874,2,,1.333333333,,,
R_8qR864RFXRhMe3z,33,1487642,0,19483248,1,972813,1,,0.666666667,,,
R_6tIR9VGZtbJI3ml,34,1487642,0,1943248,0,928712,2,,0.666666667,,,
R_5AaVcTNgg8SYxOB,35,1478462,2,1942348,1,9271832,4,,2.333333333,,,
R_daJSqmr7aK5j49f,36,1478642,1,1943428,1,9728731,1,,1,,,
R_eVFbKFaOqEmf3MN,37,1487642,0,1943248,0,9728713,0,,0,,,
R_42F0Nh83nnL7N1H,38,1487624,1,1943428,1,9728317,2,,1.333333333,,,
R_3CVKndpsfr6rSap,39,1487642,0,1943248,0,9728741,2,,0.666666667,,,
R_4GWYhZyyk8lQzt3,40,1487642,0,1943248,0,9728713,0,,0,,,
R_7PrnOuxatdzu75j,41,1487642,0,1943248,0,9728713,0,,0,,,
R_es5PlQZwzPymSDH,42,1487642,0,1943248,0,9728713,0,,0,,,
R_2f5GaDq7J4dW1x3,43,1487642,0,1943248,0,9728713,0,,0,,,
R_2m1OL5yN1LfYhJH,44,1487642,0,1943248,0,9728713,0,,0,,,
R_8pJdDiB9pUuvIkl,45,1487642,0,1943248,0,9721873,2,,0.666666667,,,
R_9M6dxhEEMXb2NGl,46,1487435,3,1945673,4,9728713,0,,2.333333333,,,
R_eLF9D6e0Eg8a8cd,47,1487642,0,1943248,0,9728713,0,,0,,,
R_1WWNAvEnQtbWWvr,48,14876462,1,1943258,1,98728713,1,,1,,,
R_9YVFloiw6K9i1z7,49,1487642,0,1943248,0,9728713,0,,0,,,
R_5mvWoItJ9IQ9349,50,1487642,0,1943248,0,9782713,1,,0.333333333,,,
R_dmO7A1a6mZmBhEV,51,147148,3,1943248,0,9723842,4,,2.333333333,,,
R_06YrDzmdO4XhO3r,52,1487642,0,1943248,0,9738173,2,,0.666666667,,,
R_9FAYoMEkS4nsnqd,53,1487642,0,1943248,0,9728412,2,,0.666666667,,,
R_1NRUa8If0lI2HJz,54,1487602,1,1943248,0,9728713,0,,0.333333333,,,
R_9nrsx6eaCsH3eHb,55,1487642,0,1943248,0,9728713,0,,0,,,
R_2lc797mybqLojSR,56,1847642,1,1943428,1,9787413,2,,1.333333333,,,
R_egkGkp8F5vJZGo5,57,1487642,0,1943248,0,9728713,0,,0,,,
R_emPpbDEOiDwUqwZ,58,1487642,0,1943248,0,9728793,1,,0.333333333,,,
R_0j4NjUytksFMVSZ,59,"1,4,8,7,6,4,2",0,"1,9,4,3,2,4",1,"9,2,7,8,9,1",3,,1.333333333,,,
R_cPlDpsTpLQ4qfk1,60,1487642,0,1943248,0,9728713,0,,0,,,
R_0VQOkpMHHOHJ1ch,61,1487642,0,1493248,1,9728718,1,,0.666666667,,,
R_8rmAOZedbJYpOg5,62,1487644,1,1943228,1,9827812,3,,1.666666667,,,
R_cRP9HU9fNYeSPVX,63,146846,4,1982846,4,982783,3,,3.666666667,,,
R_432xYqJiE6CHWkZ,64,14876482,1,194324,1,9728343,2,,1.333333333,,,
R_88KVsP1lET7OZZb,65,1487642,0,194328,1,9728713,0,,0.333333333,,,
R_esywn40YXmfPdE9,66,1487652,1,1942248,1,1729713,2,,1.333333333,,,
R_dmO7hUHutPrJTCd,67,1487642,0,1943248,0,9728713,0,,0,,,
R_29vFqSF1mCQUrcN,68,1487642,0,1943248,0,9728713,0,,0,,,
R_5hap0h96yS9mLop,69,1487241,2,1942341,2,9482713,2,,2,,,
R_dbqw1LAeslVNj6t,70,1487462,1,1943248,0,9728713,0,,0.333333333,,,
R_77ZX5x0EbTVHfRr,71,1 4 7 8 6 2,2,1 9 4 3 6 4 8,1,9 7 2 8 6 1 3,1,,1.333333333,,,
R_cuLx0LruK720OMt,72,148762,1,1943248,0,9782831,3,,1.333333333,,,
R_expliy1Ih2PCq7H,73,468,5,1932485,2,97284,3,,3.333333333,,,
R_3mIVy6pIhdAjqzr,74,14872472,2,193492,4,97287123,1,,2.333333333,,,
R_5vFfu392rhCsiAB,75,1487642,0,1943248,0,9728713,0,,0,,,
R_4OrDshBWwH3732B,76,148762,1,193428,2,9728713,0,,1,,,
R_aWqa4kzBRxrbH6J,77,1687642,1,1943248,0,9728713,0,,0.333333333,,,
R_eQCmHUKbdUw7Dpj,78,1487642,0,194328,1,9728731,1,,0.666666667,,,
R_0emepCgi1Mgda17,79,1487642,0,1943248,0,9728713,0,,0,,,
R_1MlVqKfy37mFP25,80,14876,2,1943248,0,9728713,0,,0.666666667,,,
R_6zjWG69DVEk1X9P,81,1487642,0,1943248,0,9728713,0,,0,,,
R_6nTM0bpOOTvcVpz,82,1487642,0,1943248,0,9728713,0,,0,,,
R_1yP9t6Qa4Ba6I3b,83,148742,1,1943248,0,298731,4,,1.666666667,,,
R_5w2QlvIx1ZPlrG5,84,1487642,0,1943248,0,9728713,0,,0,,,
R_bvffoqwfKanrcIl,85,1487764,2,1943248,0,9728718,1,,1,,,
R_869TCDS4FfBzE8t,86,1 4 8 7 6 4 1,1,1 9 4 3 2 4 8,0,9 8 7 2 7 8 1,3,,1.333333333,,,
R_b0Xh4QfJoeie6UJ,87,1486724,2,1943248,0,9728713,0,,0.666666667,,,
R_6KcJCjLuJf7Linj,88,"1, 4, 8, 7, 6, 4, 2",0,"1, 9, 4, 3, 2, 4, 8",0,"9, 7, 2, 8, 7, 1, 3",0,,0,,,
R_0OErFiNzVHvP0Dr,89,1487642,0,1943248,0,9728713,0,,0,,,
R_9mGvvNwc3e1qBed,90,14876421,1,1943284,1,9728713,0,,0.666666667,,,
R_7NBHPYDBzvyBhrv,91,1487642,0,1943248,0,9428714,2,,0.666666667,,,
R_7QIsySLqYW2miEt,92,1484642,1,1942348,1,9871213,4,,2,,,
R_6D6dggUpyyVHVid,93,1486742,1,1943281,2,9728173,1,,1.333333333,,,
R_9Y6rvvdJr8lyI8B,94,1484647,2,1943248,0,9728713,0,,0.666666667,,,
R_3z9bYGaZmjdMTuR,95,1487264,2,1943248,0,9728713,0,,0.666666667,,,
R_bNI0hF5NuKZ5wfX,96,"1,4,8,7,6,2",1,"1,9,4,3,2,4,2",1,"9,2,8,7,2,3,8",3,,1.666666667,,,
R_6s6kZE8Q5pEniW9,97,1487642,0,1943248,0,9728173,1,,0.333333333,,,
R_5sDNmml7gFPPYup,98,148762,1,1943248,0,9728723,1,,0.666666667,,,
R_3acpgyxPwQiaocJ,99,184764,2,942348,2,9728731,1,,1.666666667,,,
R_d73NXEiXvCTC0v3,100,1487624,1,1943248,0,9721783,2,,1,,,
R_78kJlIqOCs5aDQh,101,1487642,0,1943248,0,9728713,0,,0,,,
R_0JskLO9Iel7vyi9,102,"10, 15, 2",5,1 4 3 2 9 8,2,1 7 8 2 9 4,5,,4,,,
R_8B4W4dmGshkqAPb,103,1487642,0,1943248,0,9728713,0,,0,,,
R_7PTcMILno0sLxB3,104,1487642,0,1924438,4,9728713,0,,1.333333333,,,
R_0Vwto1Ckdim3Odf,105,"1, 4, 8, 7, 6, 4 ,2",0,"1, 9, 4, 3, 2, 4, 8, ",0,"9, 7, 2, 8, 7, 1 , 3",0,,0,,,
R_b26s1s79MKEUM4d,106,1 4 7 8 6 4 2,1,1 9 3 4 2 8,2,9 4 8 7 7 2 1,5,,2.666666667,,,
R_b3eYXjhDR2bhVMp,107,1487642,0,1943248,0,9732713,2,,0.666666667,,,
R_0VZt3IqtbHf6C4l,108,1487,3,19432,2,97287,2,,2.333333333,,,
R_6lLPxDJSmQH9NcN,109,1487642,0,1943241,1,9728713,0,,0.333333333,,,
R_cOdt8q5ckSDxGJf,110,148762,1,1943248,0,9728713,0,,0.333333333,,,
R_eJMl8DOnkbSXZ2J,111,1487642,0,1943248,0,9728713,0,,0,,,
R_dak5n9sJOa4O1Ap,112,1487629,2,14943248,1,1278273,4,,2.333333333,,,
R_0OjMvXRKJ24L9T7,113,1487642,0,1943248,0,9728713,0,,0,,,
R_9RZy6SeFbtErxPv,114,1487624,1,1943248,0,9278713,1,,0.666666667,,,
R_e349D3bDQKsTj0N,115,1487642,0,1943248,0,9728713,0,,0,,,
R_5bDNr5u3xpeLpfT,116,148742,1,194348,1,9728713,0,,0.666666667,,,
R_0U6tPB5Ve6RNatf,117,148762,1,1934823,4,9729713,1,,2,,,
R_eFpatlZ0zwPxmgB,118,1487642,0,1943248,0,9728713,0,,0,,,
R_8ctVCDY1kpn6Yfj,119,1487642,0,1934238,2,9728371,2,,1.333333333,,,
R_d6byZF35WQ5AwBv,120,148764,1,1943248,0,9728713,0,,0.333333333,,,
R_dpeQRvJgWhUaZrT,121,1478642,1,1943282,2,9728731,1,,1.333333333,,,
R_eXbrgw6Ij5m99g9,122,1487642,0,143298,2,9872183,4,,2,,,
R_cU639psEbIFAihL,123,148673,3,194376,3,972843,2,,2.666666667,,,
R_9pP2TWLNkYl2eEt,124,1487642,0,1943248,0,972871,1,,0.333333333,,,
R_37y7cjQ4D1oG4L3,125,1487624,1,1943248,0,728723,2,,1,,,
R_eLniPqlpdHAs6Tr,126,1 4 8 7 6 4 2 ,0,1942861,4,9728153,2,,2,,,
R_02hawD7ESnEQj65,127,1487646,1,1943253,2,9728712,1,,1.333333333,,,
R_aV4xMSLlAdAVVxb,128,1487642,0,1943248,0,9728714,1,,0.333333333,,,
R_afX8kbBK6TKIIXH,129,1487642,0,1943248,0,9728713,0,,0,,,
R_d45CJnD8aZA00Sh,130,1487642,0,1943248,0,9728713,0,,0,,,
R_em0fbkntiE3jDBr,131,14872456,3,19432451,2,9728153,2,,2.333333333,,,
R_6VZcawvAmIVTPnf,132,1487642,0,1943248,0,9728713,0,,0,,,
R_1ZlgeedB7vMr9Q1,133,1487642,0,1943428,1,9728713,0,,0.333333333,,,
R_bfQPQDtBca9WNiB,134,1487642,0,1943428,1,9728713,0,,0.333333333,,,
R_5byeFOuhDuVtGLj,135,1487642,0,1943214,2,9728713,0,,0.666666667,,,
R_7almh3hc7pNvvcF,136,1487642,0,1943248,0,9728713,0,,0,,,
R_bsm7AOSU5nB7Tox,137,1487642,0,1943248,0,9728713,0,,0,,,
R_5c1KT9iUxQq0aUJ,138,14976482,2,1943248,0,972813,1,,1,,,
R_7Ol2VGosq0utdLT,139,1487642,0,1943248,0,9728713,0,,0,,,
R_0NVTItDNces9OpT,140,1487642,0,1943248,0,9728713,0,,0,,,
R_czNvCNT9hMJTrkF,141,1487642,0,194338,2,9728713,0,,0.666666667,,,
R_3wmuhrYjNOpf1f7,142,1487642,0,1943248,0,9728713,0,,0,,,
R_bm7M9qF3gBbg8NT,143,1486742,1,1943248,0,9781213,3,,1.333333333,,,
R_0PKMgwox9JHASYR,144,1487642,0,1943248,0,9728713,0,,0,,,
R_e3ryHW0KNhn5fYp,145,1487642,0,1943248,0,9728713,0,,0,,,
R_9nVKpzE5NL4Gu8d,146,1487642,0,1943248,0,9728713,0,,0,,,
R_8H56Q6WCqxUqlEN,147,178642,2,1943248,0,9728721,2,,1.333333333,,,
R_8BVN1KgAY8NlGKh,148,1487642,0,1943248,0,9728713,0,,0,,,
R_3WTSggnuUjklCTz,149,1876421,2,1945632,4,9728793,1,,2.333333333,,,
R_e9bmWVr70f5xMj3,150,1487642,0,1943248,0,9729813,2,,0.666666667,,,
R_50l7KqMSoG3WW9f,151,1487624,1,1932483,2,9728713,0,,1,,,
R_5zLULSNZODtsvbf,152,148762,1,1943248,0,9728713,0,,0.333333333,,,
R_bfly8lbOyFhOLzL,153,1487642,0,1943248,0,982721,4,,1.333333333,,,
R_9G0ABzqPet5LozP,154,148762,1,1943248,0,9728713,0,,0.333333333,,,
