id,count,guess_1,score_1,guess_2,score_2,guess_3,score_3,avg_score,cereal,icecream,entree ,apparel,date,job,doctor,car,home,vacation,disease,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,score_4,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10,MS11,MS12,MS13,score_5,score_5B,D1,D2,D3,D4,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D5_9,D5_10,D5_11,D5_12,D6,D7,D8_1,D8_2,D8_3,D8_4,D8_5,D8_6,D8_7,D8_8,D8_9,D8_10,D9
R_0Pp5b7LWAALOiS9,29,1487642,0,1923248,1,9728713,0,0.33,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,scrutinize,4,2,4,4,4,2,4,4,2,2,,2,2,2,2,6,6,2,3,5,3,2,2,1,2.92,MIN,8,2,5,1,,,,,,,,,,1,,,4,4,,,,,,,,1,,,4
R_8I0Bxq76mAw77GR,30,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,scrutinize,eliminate,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,defer,5,2,5,2,1,4,4,1,1,4,,2,6,5,6,1,5,5,6,6,5,2,1,6,4.31,MAX,2,5,5,1,1,,1,,,,,,,,,,1,1,,,,,,,,,1,,2
R_aaxCQmVVC6xwMOp,31,1486472,2,1942348,1,9287213,2,1.67,scrutinize,eliminate,defer,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,scrutinize,scrutinize,eliminate,5,4,4,1,3,1,3,5,2,4,,6,4,7,6,6,7,6,6,6,5,4,6,7,5.85,High MAX,2,2,2,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,5
R_5jufKjrBinLgNRr,32,148672,2,1943248,0,972874,2,1.33,scrutinize,eliminate,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,eliminate,5,1,5,1,5,4,5,2,1,1,,1,6,2,5,6,6,4,7,3,6,1,3,2,4,MIN,4,3,9,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,2
R_6tIR9VGZtbJI3ml,34,1487642,0,1943248,0,928712,2,0.67,scrutinize,scrutinize,defer,eliminate,eliminate,defer,defer,scrutinize,defer,scrutinize,eliminate,4,1,5,2,4,5,5,2,3,2,,2,3,2,5,2,2,2,4,2,5,6,2,6,3.31,MIN,5,2,8,1,1,,,,,,,,,,,,4,3,,,,,1,,,,,,3
R_5AaVcTNgg8SYxOB,35,1478462,2,1942348,1,9271832,4,2.33,postpone,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,postpone,defer,postpone,eliminate,5,1,4,3,5,4,4,4,1,1,,3,4,2,2,2,2,2,4,6,3,2,2,5,3,MIN,2,3,5,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,4
R_daJSqmr7aK5j49f,36,1478642,1,1943428,1,9728731,1,1,scrutinize,scrutinize,eliminate,eliminate,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,scrutinize,5,2,4,2,5,4,4,3,2,1,,2,4,3,6,6,6,5,5,6,4,1,2,6,4.31,MAX,8,2,8,1,1,,,,,,,,,,,,2,1,,,,,,,,,1,,2
R_42F0Nh83nnL7N1H,38,1487624,1,1943428,1,9728317,2,1.33,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,scrutinize,scrutinize,eliminate,4,3,3,2,4,3,4,4,3,2,,4,3,4,5,4,4,5,3,4,5,4,5,4,4.15,MAX,6,1,4,2,1,,,,,,,,,,,,2,2,,,,,,,,1,,,3
R_3CVKndpsfr6rSap,39,1487642,0,1943248,0,9728741,2,0.67,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,defer,scrutinize,defer,scrutinize,eliminate,5,4,4,2,5,3,2,4,1,5,,6,7,7,7,7,5,7,7,3,5,5,3,5,5.69,High MAX,3,2,6,2,,1,1,,,,,,,,,,2,3,,,,,1,,,,,,2
R_4GWYhZyyk8lQzt3,40,1487642,0,1943248,0,9728713,0,0,scrutinize,eliminate,defer,eliminate,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,5,5,4,1,3,2,2,5,3,4,,6,3,4,5,5,5,5,6,4,7,2,5,6,4.85,MAX,1,2,8,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,5
R_7PrnOuxatdzu75j,41,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,eliminate,eliminate,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,4,4,5,1,5,4,2,4,5,4,,2,5,2,7,6,6,6,5,5,7,2,2,7,4.77,MAX,2,2,5,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,4
R_es5PlQZwzPymSDH,42,1487642,0,1943248,0,9728713,0,0,postpone,scrutinize,defer,scrutinize,postpone,scrutinize,defer,postpone,scrutinize,scrutinize,eliminate,5,1,4,4,5,5,5,5,1,1,,6,6,7,6,2,1,1,6,7,6,6,6,7,5.15,MAX,8,2,5,1,,1,,,,,,,,,,,4,5,,,,,,,,1,,,1
R_2f5GaDq7J4dW1x3,43,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,postpone,eliminate,scrutinize,scrutinize,eliminate,4,5,5,5,2,1,2,5,5,2,,1,6,6,7,7,7,7,2,7,7,1,6,6,5.38,MAX,2,2,5,1,,1,,,,,,1,,,,,1,1,,,,,,,,,1,,4
R_2m1OL5yN1LfYhJH,44,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,postpone,scrutinize,scrutinize,scrutinize,postpone,5,3,4,4,5,2,4,4,2,3,,6,7,2,5,5,2,1,7,1,2,1,5,2,3.54,MIN,6,2,5,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,1
R_8pJdDiB9pUuvIkl,45,1487642,0,1943248,0,9721873,2,0.67,scrutinize,defer,scrutinize,eliminate,scrutinize,scrutinize,defer,scrutinize,defer,scrutinize,defer,5,1,2,1,4,2,5,4,1,1,,1,3,1,5,1,1,1,5,5,5,3,1,3,2.69,MIN,2,2,5,1,1,,,,,,,,,,,,2,1,,,,,,,,,1,,2
R_9M6dxhEEMXb2NGl,46,1487435,3,1945673,4,9728713,0,2.33,scrutinize,scrutinize,defer,defer,eliminate,scrutinize,defer,postpone,defer,defer,defer,4,2,3,3,3,4,4,4,2,3,,5,4,4,4,5,4,2,4,4,3,4,7,4,4.15,MAX,3,2,6,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,4
R_eLF9D6e0Eg8a8cd,47,1487642,0,1943248,0,9728713,0,0,defer,scrutinize,scrutinize,eliminate,postpone,defer,defer,scrutinize,defer,scrutinize,defer,4,2,4,2,3,2,4,4,3,4,,3,5,6,4,4,3,3,4,2,3,3,2,6,3.69,MIN,2,2,5,1,1,,,,,,,,,,,,2,3,,,,,1,,1,,,,4
R_1WWNAvEnQtbWWvr,48,14876462,1,1943258,1,98728713,1,1,postpone,scrutinize,eliminate,postpone,scrutinize,scrutinize,scrutinize,eliminate,postpone,eliminate,scrutinize,4,3,1,2,1,1,3,5,4,5,,2,5,7,4,1,1,1,7,2,1,4,6,5,3.54,MIN,4,2,4,2,,,,,,1,,,,,,,2,2,,,,,,,1,,,,2
R_9YVFloiw6K9i1z7,49,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,postpone,5,4,4,2,4,4,2,4,1,2,,5,5,6,5,5,3,6,6,5,5,2,6,2,4.69,MAX,7,2,8,2,,,,,,1,,,,,,,2,3,,,,,,,,1,,,3
R_5mvWoItJ9IQ9349,50,1487642,0,1943248,0,9782713,1,0.33,scrutinize,scrutinize,scrutinize,eliminate,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,eliminate,4,2,3,2,4,3,4,4,2,1,,2,2,4,3,2,2,2,5,4,2,4,5,5,3.23,MIN,8,2,8,2,,,1,,,,,,,,,,3,1,,,,,,,,,1,,3
R_dmO7A1a6mZmBhEV,51,147148,3,1943248,0,9723842,4,2.33,scrutinize,eliminate,scrutinize,eliminate,postpone,defer,defer,scrutinize,defer,scrutinize,scrutinize,5,4,4,1,5,2,5,4,1,1,,7,4,7,3,7,7,7,5,5,1,1,7,2,4.85,MAX,4,2,7,2,,,1,,,,,,,,,,4,5,,,,,1,1,1,,,,2
R_06YrDzmdO4XhO3r,52,1487642,0,1943248,0,9738173,2,0.67,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,defer,eliminate,scrutinize,scrutinize,eliminate,5,2,3,3,4,5,4,3,2,2,,2,6,3,3,2,2,2,6,6,6,5,3,6,4,MIN,5,2,9,2,,,1,1,,1,,,,,,,2,2,,,,,,,1,,,,4
R_9FAYoMEkS4nsnqd,53,1487642,0,1943248,0,9728412,2,0.67,defer,scrutinize,scrutinize,eliminate,eliminate,defer,postpone,scrutinize,defer,defer,eliminate,5,4,2,4,4,4,4,2,2,3,,4,6,5,6,5,5,4,4,5,4,4,5,3,4.62,MAX,2,2,8,1,1,,,,,,,,,,,,2,1,,,,,,,,,1,,3
R_1NRUa8If0lI2HJz,54,1487602,1,1943248,0,9728713,0,0.33,scrutinize,scrutinize,scrutinize,eliminate,eliminate,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,4,4,5,1,4,2,2,4,3,2,,1,4,3,2,2,2,3,5,6,3,2,3,7,3.31,MIN,5,2,8,1,,,1,,,,,,,,,,1,1,,,,,,,,,1,,5
R_9nrsx6eaCsH3eHb,55,1487642,0,1943248,0,9728713,0,0,postpone,defer,eliminate,defer,eliminate,scrutinize,defer,postpone,postpone,defer,defer,3,2,3,3,2,3,3,4,4,5,,4,3,2,3,3,4,5,5,4,3,4,4,5,3.77,MIN,2,1,8,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,8
R_2lc797mybqLojSR,56,1847642,1,1943428,1,9787413,2,1.33,scrutinize,scrutinize,defer,postpone,postpone,scrutinize,defer,scrutinize,defer,eliminate,eliminate,5,2,4,2,5,4,4,5,2,4,,3,5,6,7,2,1,5,6,3,2,1,5,3,3.77,MIN,1,2,7,1,1,,,,,,,,,,,,2,1,,,,,,,,,1,,2
R_emPpbDEOiDwUqwZ,58,1487642,0,1943248,0,9728793,1,0.33,scrutinize,eliminate,eliminate,scrutinize,scrutinize,scrutinize,scrutinize,postpone,scrutinize,scrutinize,eliminate,5,4,5,1,3,4,3,3,1,4,,5,4,1,4,5,5,6,4,2,3,1,1,4,3.46,MIN,4,2,8,2,,,,,,1,,,,,,,2,5,,,1,1,1,1,,,,,4
R_0j4NjUytksFMVSZ,59,"1,4,8,7,6,4,2",0,"1,9,4,3,2,4",1,"9,2,7,8,9,1",3,1.33,scrutinize,postpone,eliminate,eliminate,postpone,eliminate,eliminate,eliminate,scrutinize,scrutinize,scrutinize,4,5,3,2,1,1,4,3,3,4,,2,6,4,3,2,3,2,5,4,4,2,3,3,3.31,MIN,1,2,5,1,,,1,,,,,,,,,,1,1,,,,,,,,,1,,4
R_cPlDpsTpLQ4qfk1,60,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,postpone,scrutinize,defer,5,1,5,1,5,5,5,5,1,1,,1,1,7,4,1,1,1,4,7,1,1,1,1,2.38,Low MIN,2,2,8,2,,1,,,,,,,,,,,1,1,,,,,,,,,1,,1
R_0VQOkpMHHOHJ1ch,61,1487642,0,1493248,1,9728718,1,0.67,scrutinize,defer,defer,scrutinize,scrutinize,scrutinize,defer,eliminate,scrutinize,eliminate,eliminate,5,4,5,2,2,1,2,5,2,2,,2,3,2,6,2,2,2,5,2,6,2,3,7,3.38,MIN,2,2,6,2,,,1,,,,,,,,,,1,1,,,,,,,,,1,,1
R_8rmAOZedbJYpOg5,62,1487644,1,1943228,1,9827812,3,1.67,scrutinize,eliminate,scrutinize,scrutinize,eliminate,scrutinize,scrutinize,scrutinize,postpone,scrutinize,scrutinize,3,4,5,1,3,3,3,4,3,4,,5,3,5,6,3,5,5,3,4,3,2,3,6,4.08,MAX,4,2,8,1,,,1,1,,,,,,,,,1,1,,,,,,,,,1,,4
R_cRP9HU9fNYeSPVX,63,146846,4,1982846,4,982783,3,3.67,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,defer,scrutinize,scrutinize,4,2,4,2,3,4,3,4,2,4,,5,5,5,6,6,5,3,6,6,2,5,2,6,4.77,MAX,6,2,7,2,,,1,,,,,,,,,,1,1,,,,,,,,,1,,4
R_432xYqJiE6CHWkZ,64,14876482,1,194324,1,9728343,2,1.33,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,defer,5,1,5,1,5,5,5,3,1,1,,2,1,2,7,2,2,2,7,4,1,1,1,5,2.85,MIN,1,5,5,1,,,,,,,1,,,,,,1,1,,,,,,,,,1,,2
R_88KVsP1lET7OZZb,65,1487642,0,194328,1,9728713,0,0.33,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,scrutinize,scrutinize,eliminate,scrutinize,eliminate,scrutinize,5,2,5,1,2,2,4,4,1,4,,1,6,3,7,7,7,5,7,6,3,2,2,5,4.69,MAX,2,2,4,2,,,1,,,,,,,,,,2,1,,,,,,,,,1,,3
R_esywn40YXmfPdE9,66,1487652,1,1942248,1,1729713,2,1.33,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,postpone,scrutinize,scrutinize,5,2,4,1,1,2,4,5,2,4,,2,2,2,6,6,6,6,5,7,5,1,2,6,4.31,MAX,2,2,5,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,3
R_dmO7hUHutPrJTCd,67,1487642,0,1943248,0,9728713,0,0,postpone,eliminate,eliminate,scrutinize,postpone,eliminate,eliminate,postpone,postpone,scrutinize,postpone,4,5,4,3,5,4,5,4,4,4,,4,4,4,3,3,3,4,4,5,3,4,4,5,3.85,MIN,1,2,4,2,1,,,,,,,,,,,,1,1,,,,,,,,,1,,4
R_29vFqSF1mCQUrcN,68,1487642,0,1943248,0,9728713,0,0,eliminate,scrutinize,eliminate,eliminate,eliminate,postpone,scrutinize,postpone,postpone,defer,scrutinize,3,2,3,4,5,4,3,2,1,3,,4,2,5,5,6,7,6,4,3,5,5,3,2,4.38,MAX,2,1,12,4,,,,,,,,,,,,1,6,6,,,,,,,,,,1,8
R_5hap0h96yS9mLop,69,1487241,2,1942341,2,9482713,2,2,scrutinize,defer,scrutinize,postpone,scrutinize,scrutinize,scrutinize,postpone,scrutinize,scrutinize,scrutinize,4,4,4,2,2,1,1,4,4,4,,6,3,3,5,6,6,5,3,5,7,5,6,6,5.08,MAX,1,2,4,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,5
R_dbqw1LAeslVNj6t,70,1487462,1,1943248,0,9728713,0,0.33,defer,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,scrutinize,5,3,5,2,5,5,5,4,3,4,,7,7,5,7,3,5,6,7,6,7,6,6,7,6.08,High MAX,1,1,5,1,,1,,,,,1,,,,,,1,1,,,,,,,,,1,,2
R_cuLx0LruK720OMt,72,148762,1,1943248,0,9782831,3,1.33,postpone,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,4,5,2,4,4,1,1,4,4,3,,5,4,6,4,7,2,6,2,4,6,4,4,4,4.46,MAX,1,2,5,1,,,,,1,,,,,,,,1,1,,,,,,,,,1,,6
R_expliy1Ih2PCq7H,73,468,5,1932485,2,97284,3,3.33,defer,postpone,eliminate,defer,eliminate,eliminate,eliminate,scrutinize,scrutinize,scrutinize,defer,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,MAX,5,2,5,1,,1,,,,,,,,,,,2,3,,,,,,,1,,,,2
R_3mIVy6pIhdAjqzr,74,14872472,2,193492,4,97287123,1,2.33,scrutinize,scrutinize,defer,eliminate,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,eliminate,4,2,4,3,4,5,2,1,4,3,,5,4,5,6,6,7,6,5,5,4,2,5,6,5.08,MAX,2,2,3,1,,1,,,,,,,,,,,2,1,,,,,,,,,1,,5
R_5vFfu392rhCsiAB,75,1487642,0,1943248,0,9728713,0,0,scrutinize,eliminate,defer,scrutinize,scrutinize,defer,defer,eliminate,scrutinize,scrutinize,eliminate,3,2,4,2,4,2,4,4,4,2,,3,3,5,5,3,3,5,3,4,3,3,5,5,3.85,MIN,4,2,7,2,1,,,,,,,,,,,,2,3,,,,,1,,1,,,,4
R_4OrDshBWwH3732B,76,148762,1,193428,2,9728713,0,1,eliminate,defer,scrutinize,scrutinize,eliminate,defer,eliminate,eliminate,scrutinize,scrutinize,postpone,2,2,4,3,4,1,4,4,5,3,,3,5,4,3,4,4,5,6,4,5,5,2,3,4.08,MAX,1,1,5,1,,1,,,,,1,,,,,,1,1,,,,,,,,,1,,4
